,YYYYMM,DATE,00000
0,200402,24050,5.3749639495215185
1,200403,24051,5.418844258913927
2,200404,24052,5.486018289173265
3,200405,24053,5.3411962359652145
4,200406,24054,4.363921869391919
5,200407,24055,3.2599001116585193
6,200408,24056,2.806828718620351
7,200409,24057,2.721911165920849
8,200410,24058,2.516103586367322
9,200411,24059,2.3747585626250016
10,200412,24060,2.7614586622180846
11,200501,24061,2.5750364182697245
12,200502,24062,2.3082773740009066
13,200503,24063,2.0673982934107147
14,200504,24064,1.7057511111111165
15,200505,24065,2.100177777777782
16,200506,24066,1.4901222222222354
17,200507,24067,1.3275455555555606
18,200508,24068,1.7210766666666748
19,200509,24069,1.0506988888889017
20,200510,24070,1.2898600000000107
21,200511,24071,1.2384577777777932
22,200512,24072,1.3547744444444536
23,200601,24073,1.7813422222222302
24,200602,24074,1.717558888888893
25,200603,24075,2.1403722222222252
26,200604,24076,2.4960266666666713
27,200605,24077,3.39993
28,200606,24078,3.689875555555556
29,200607,24079,3.485535555555557
30,200608,24080,3.286282222222221
31,200609,24081,3.7232966666666645
32,200610,24082,3.4357133333333274
33,200611,24083,2.5617611111111076
34,200612,24084,3.495345555555563
35,200701,24085,2.8280466666666726
36,200702,24086,3.0809222222222274
37,200703,24087,2.825791111111104
38,200704,24088,1.4029811111110932
39,200705,24089,1.2994811111111007
40,200706,24090,1.4424022222222292
41,200707,24091,0.7717144444444415
42,200708,24092,1.145585555555554
43,200709,24093,1.5141144444444432
44,200710,24094,1.6201333333333365
45,200711,24095,1.8072577777777803
46,200712,24096,1.981379999999998
47,200801,24097,3.0695520000000043
48,200802,24098,2.0598189999999983
49,200803,24099,1.8534181818181676
50,200804,24100,1.5999599999999976
51,200805,24101,1.8450454545454538
52,200806,24102,2.8944327272727386
53,200807,24103,3.2313518181818295
54,200808,24104,3.4429390909090922
55,200809,24105,3.909971818181825
56,200810,24106,7.9228645454545585
57,200811,24107,9.010879999999988
58,200812,24108,8.761452727272738
59,200901,24109,7.766781818181819
60,200902,24110,8.217329090909105
61,200903,24111,7.273316363636367
62,200904,24112,6.363732727272726
63,200905,24113,4.792009000000004
64,200906,24114,5.6001719999999855
65,200907,24115,3.3695269999999864
66,200908,24116,3.390528000000001
67,200909,24117,4.6778499999999985
68,200910,24118,4.702035999999996
69,200911,24119,4.859656999999995
70,200912,24120,6.991890999999976
71,201001,24121,6.927963999999997
72,201002,24122,6.960450999999996
73,201003,24123,5.482979000000001
74,201004,24124,5.46282199999999
75,201005,24125,6.7774754545454465
76,201006,24126,6.568970909090896
77,201007,24127,5.782839999999993
78,201008,24128,5.988523636363634
79,201009,24129,5.603809999999997
80,201010,24130,4.3774999999999995
81,201011,24131,5.151488181818163
82,201012,24132,4.690938181818181
83,201101,24133,4.910290909090905
84,201102,24134,5.945631818181812
85,201103,24135,4.389218000000002
86,201104,24136,4.469569000000002
87,201105,24137,4.323466999999988
88,201106,24138,4.6566809999999945
89,201107,24139,4.562508999999997
90,201108,24140,4.914677999999996
91,201109,24141,5.2340429999999785
92,201110,24142,5.790664999999989
93,201111,24143,5.711136000000004
94,201112,24144,5.065610999999992
95,201201,24145,5.572765999999989
96,201202,24146,4.25844699999999
97,201203,24147,4.693585000000005
